Order,Family,Species,English_name,Subspecies,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System,Display,Resource,References
Passeriformes,Motacillidae,Anthus spragueii,Sprague's Pipit,,22.8,4,24.1,4,,,81.2,65,78.3,61,,,21.7,65,22,60,,,,,,,,,57.3,63,56.4,21,,,4.5,2.47,,4,,"7, 31"
Passeriformes,Prunellidae,Prunella collaris,Alpine Accentor,collaris,40.8,,38.3,,,,104.6,18,97.4,10,,,25.4,15,24.8,4,,,17.4,13,17.4,4,,,65.1,17,58.7,7,,,3.5,3.38,,4,1,"9, 31"
Passeriformes,Prunellidae,Prunella montanella,Siberian Accentor,,17.4,3,17.5,1,,,74.6,13,71.7,8,,,19.6,12,19.2,8,,,13.5,12,13.3,8,,,64,12,61.2,8,,,5,,,,1,9
Passeriformes,Prunellidae,Prunella ocularis,Radde's Accentor,,22.5,2,,,,,78.1,6,73.5,3,,,22,6,20.8,3,,,14.2,6,14.3,3,,,64.6,5,60.5,3,,,3.5,,,,,9
Passeriformes,Prunellidae,Prunella atrogularis,Black-throated Accentor,huttoni,19,6,18.8,5,,,74.9,7,72.2,7,,,20.2,4,18.9,3,,,12.6,6,12.3,5,,,60.4,5,59.2,3,,,4.04,,,1,1,9
Passeriformes,Prunellidae,Prunella modularis,Hedge Accentor,modularis,21.4,10,21.1,6,,,71.1,78,68.6,48,,,20.6,29,20.3,26,,,14.6,27,14.4,23,,,57.9,18,57.5,23,,,5.1,2.13,1,1,1,"1, 9, 31"
Passeriformes,Ploceidae,Bubalornis albirostris,White-billed Buffalo-Weaver,,71,1,,,,,124,13,112,10,,,27.6,13,26.8,10,,,25.8,13,24.2,10,,,107,13,91.4,10,,,3.5,5.75,,2,,"28, 31"
Passeriformes,Ploceidae,Bubalornis niger,Red-billed Buffalo-Weaver,,79,2,,,81.3,1,122,12,113,11,,,29.4,12,27.9,11,,,25.1,12,24.4,11,,,103,12,97.5,11,,,3.3,5.78,,1,,"28, 31"
Passeriformes,Ploceidae,Dinemellia dinemelli,White-headed Buffalo-Weaver,,68.8,6,71.5,2,,,111,11,113,12,,,28.7,11,29,12,,,24.5,11,23.8,12,,,76.4,11,75.8,12,,,3.5,4.52,,1,,"28, 31"
Passeriformes,Ploceidae,Sporopipes frontalis,Speckle-fronted Weaver,,16,1,,,17.1,76,64.9,8,66.4,7,,,17.1,8,17.2,7,,,12.2,8,12.3,7,,,45.4,8,45.7,7,,,3,1.26,,1,1,"28, 31"
Passeriformes,Ploceidae,Sporopipes squamifrons,Scaly Weaver,,11.3,2,,,12.3,66,57.7,12,56.6,14,,,15.7,12,15.9,14,,,10.9,12,11.2,14,,,40,12,39.9,14,,,4.1,,,1,1,28
Passeriformes,Passeridae,Plocepasser mahali,White-browed Sparrow-Weaver,,49.5,13,48.9,13,,,101,14,100,11,,,25.9,14,26,11,,,20.4,14,20.1,11,,,66.6,14,64.7,11,,,2.5,3.31,,1,,"28, 31"
Passeriformes,Passeridae,Plocepasser superciliosus,Chestnut-crowned Sparrow-Weaver,,34,1,,,34,15,92.3,12,87.1,9,,,21.3,12,20.8,9,,,19,12,18.3,9,,,68.8,12,63.3,9,,,2,2.63,,,,"28, 31"
Passeriformes,Passeridae,Plocepasser rufoscapulatus,Chestnut-backed Sparrow-Weaver,,46.5,2,39,1,,,96.7,10,94.1,7,,,21.4,10,20.3,7,,,19.9,10,19.5,7,,,65.3,10,64.3,7,,,,,,,,28
Passeriformes,Passeridae,Plocepasser donaldsoni,Donaldson-Smith's Sparrow-Weaver,,42,2,41.5,1,,,92.4,13,88,5,,,22.2,13,21.6,5,,,21.4,13,20.6,5,,,53.8,13,52,5,,,,2.81,,,,"28, 31"
Passeriformes,Passeridae,Histurgops ruficauda,Rufous-tailed Weaver,,,,69,1,,,124,3,121,8,,,26.7,3,26.5,8,,,23.2,3,22.6,8,,,94.7,3,90.6,8,,,2.5,4.18,,,,"28, 31"
Passeriformes,Passeridae,Pseudonigrita arnaudi,Grey-headed Social-Weaver,,20.3,4,19.5,4,20,54,66.5,12,66,12,,,17.9,12,17.6,12,,,14.2,12,14.6,12,,,35.8,12,35.3,12,,,3.5,1.84,,1,,"28, 31"
Passeriformes,Passeridae,Pseudonigrita cabanisi,Black-capped Social-Weaver,,23,4,18.5,4,,,67.5,11,65.3,10,,,17,11,16.6,10,,,16,11,15.5,10,,,46.9,11,45.4,10,,,3,1.86,,1,,"28, 31"
Passeriformes,Passeridae,Philetairus socius,Sociable Weaver,,27.5,73,27.3,43,,,74.9,12,74.6,12,,,20.1,12,20.2,12,,,17.6,12,17.8,12,,,45.6,12,44.3,12,,,3.6,2.57,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus bannermani,Bannerman's Weaver,,,,,,31,8,78.6,5,76.2,8,,,23.4,1,22.7,5,,,18.7,5,19.2,8,,,58,5,54.4,8,,,2,,,,,28
Passeriformes,Ploceidae,Ploceus batesi,Bates's Weaver,,,,,,,,74,2,74,5,,,18.55,2,17.2,5,,,18.9,2,17.8,5,,,48.5,2,49,5,,,,,,,,28
Passeriformes,Ploceidae,Ploceus baglafecht,Baglafecht Weaver,reichenowi,32.4,52,29.9,56,,,82.2,76,79.5,43,,,27.5,72,26.8,44,,,19,4,19.2,6,,,57,4,54,3,,,2,2.74,,1,1,"28, 31"
Passeriformes,Ploceidae,Ploceus bertrandi,Bertrand's Weaver,,39,14,38.4,15,,,83.2,12,79.6,12,,,22.4,12,22,12,,,21.5,12,21.4,12,,,59.5,12,57.8,12,,,2,2.34,,,1,"28, 31"
Passeriformes,Ploceidae,Ploceus pelzelni,Slender-billed Weaver,,14.1,28,12.5,18,,,62.3,12,59.5,12,,,18.4,12,18.4,12,,,17.5,12,16.8,12,,,42.8,12,42.7,12,,,2.5,1.71,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus luteolus,Little Weaver,,13.7,9,13.1,7,,,61.7,12,60.6,10,,,16.1,12,15.7,10,,,14.1,12,13.5,10,,,39.1,12,38.2,10,,,2.5,1.7,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus intermedius,Lesser Masked Weaver,,23.3,50,22,42,,,73.3,10,69.2,10,,,21.2,10,20.2,10,,,18,10,17,10,,,46.4,10,43.3,10,,,2.3,,,1,,28
Passeriformes,Ploceidae,Ploceus ocularis,Spectacled Weaver,,29.6,11,25,6,,,76.7,24,73.2,24,,,24.4,24,23.4,24,,,21.8,24,21.2,24,,,63.9,24,62.5,24,,,2.5,2.62,,1,2,"28, 31"
Passeriformes,Ploceidae,Ploceus nigricollis,Black-necked Weaver,,28,5,27,6,,,76.6,55,73.3,38,,,22,55,21.2,38,,,19.8,55,19,38,,,56.5,55,54.5,38,,,2,2.32,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus melanogaster,Black-billed Weaver,,23.2,17,22.6,9,,,70.7,30,68,12,,,21.5,30,20.9,12,,,20,30,19.7,12,,,52.2,30,51.3,12,,,2,2.74,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus alienus,Strange Weaver,,22.8,2,21.1,2,,,69.9,12,68.9,12,,,20.2,12,19.3,12,,,19.2,12,18.9,12,,,52.3,12,52.2,12,,,2,2.59,,,2,"28, 31"
Passeriformes,Ploceidae,Ploceus temporalis,Bocage's Weaver,,,,,,35.7,3,83.4,13,76.5,4,,,22.5,13,20.9,4,,,18.6,13,17.9,4,,,49.9,13,45,4,,,2.3,,,,,28
Passeriformes,Ploceidae,Ploceus capensis,Cape Weaver,,47.9,57,40.4,46,,,91.5,20,85,10,,,26.8,20,25.5,10,,,24,20,22.9,10,,,60.3,20,56.2,10,,,2.6,3.69,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus subaureus,African Golden-Weaver,,35,22,26.4,24,,,84.3,13,77.1,11,,,23.1,13,21.1,11,,,21,13,19.6,11,,,59.5,13,54.9,11,,,2.4,2.82,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus xanthops,Holub's Golden-Weaver,,46,6,39,5,,,92.2,12,85.2,11,,,25.8,12,24.5,11,,,22.5,12,21.7,11,,,70.2,12,65.1,11,,,2,3.41,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus princeps,Principe Golden-Weaver,,,,,,31.2,1,87.3,10,81,2,,,23,10,21.45,2,,,24.5,10,23.65,2,,,55.5,10,51,2,,,1.5,,,1,,28
Passeriformes,Ploceidae,Ploceus aurantius,Orange Weaver,,23.7,10,25,1,,,71.5,12,65.8,12,,,18,12,16.9,12,,,17.7,12,16.6,12,,,43.8,12,39.6,12,,,2,2.22,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus bojeri,Golden Palm Weaver,,25.5,37,19.7,14,,,76.1,12,65.8,12,,,22,12,18.6,12,,,17.8,12,17.1,12,,,53.1,12,44.4,12,,,2,2.29,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus castaneiceps,Taveta Golden Weaver,,,,18.5,3,,,76.4,8,69.7,9,,,22.1,8,20.2,9,,,18.9,8,17.3,9,,,52.4,8,47,9,,,3,2.63,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus xanthopterus,Southern Brown-throated Weaver,,25.1,394,19.2,342,,,72.8,384,64.9,322,,,22.1,4,19.3,4,,,18.3,150,17,142,,,47.5,150,42.9,142,,,2.4,2.37,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus castanops,Northern Brown-throated Weaver,,23.5,28,19.5,13,,,73.2,12,65.4,8,,,22.4,12,20.6,8,,,19.6,12,18,8,,,47.1,12,42.8,8,,,2.5,2.33,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus galbula,Rueppell's Weaver,,23.8,9,18.1,5,,,73.1,8,69,2,,,19.9,8,18.55,2,,,17.8,8,16.9,2,,,46.6,8,45,2,,,2.5,2.14,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus heuglini,Heuglin's Masked-Weaver,,23.9,5,35,1,23.2,12,74.1,11,68.5,2,,,19.9,11,19,2,,,19,11,17.55,2,,,43.5,11,41,2,,,2.2,2.35,,1,1,"28, 31"
Passeriformes,Ploceidae,Ploceus taeniopterus,Northern Masked-Weaver,,,,,,,,72.2,9,65.2,8,,,21.3,9,18.3,8,,,18.6,9,17.2,8,,,46,9,42.1,8,,,2.5,2.2,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus vitellinus,Vitelline Masked-Weaver,,20,1,,,,,70.1,7,65.6,5,,,19.8,7,18,5,,,17.2,7,16.4,5,,,43.6,7,42.3,5,,,2.4,1.9,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus velatus,Southern Masked-Weaver,tahatali,28.1,73,24.5,35,,,79.7,26,72.7,26,,,23.75,2,22.75,2,,,15.25,2,15.25,2,,,53.5,4,,,,,2.5,,,1,,28
Passeriformes,Ploceidae,Ploceus katangae,Katanga Masked-Weaver,upembae,20,9,16.5,2,,,67.8,3,62.5,,,,20,1,,,,,18,3,,,,,45,1,,,,,1.8,,,,,28
Passeriformes,Ploceidae,Ploceus reichardi,Tanzania Masked-Weaver,,,,,,,,69.6,13,64,1,,,21,13,19,1,,,16.7,13,15.5,1,,,44.8,13,40,1,,,2.5,,,1,,28
Passeriformes,Ploceidae,Ploceus cucullatus,Village Weaver,,41.3,621,33.8,708,,,88.7,10,77.4,10,,,23.8,10,21.7,10,,,20.8,10,18.3,10,,,53.4,10,46.2,10,,,2.3,3.09,4,1,,"1, 28, 31"
Passeriformes,Ploceidae,Ploceus grandis,Giant Weaver,,,,,,63.5,4,112,7,106,6,,,28.9,7,28,6,,,31.5,7,30.1,6,,,72.1,7,67.3,6,,,1.5,,,1,1,28
Passeriformes,Ploceidae,Ploceus spekei,Speke's Weaver,,38.3,44,32.1,26,,,82.9,9,79.6,7,,,21.5,9,20.5,7,,,20.9,9,20.5,7,,,46.8,9,46.3,7,,,2.1,3,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus spekeoides,Fox's Weaver,,,,,,,,74.3,9,71.5,7,,,21.1,9,20.2,7,,,21.5,9,21,7,,,38.7,9,37,7,,,,,,,,28
Passeriformes,Ploceidae,Ploceus nigerrimus,Vieillot's Black Weaver,,37.5,13,44,1,30.8,7,83.3,12,77.5,12,,,21.3,12,20.3,12,,,21.3,12,20.2,12,,,53.6,12,50.8,12,,,2,,,1,,"1, 28"
Passeriformes,Ploceidae,Ploceus weynsi,Weyns's Weaver,,30.9,31,27.3,28,,,80.6,12,74,12,,,20.5,12,19.1,12,,,20.2,12,19.3,12,,,47.3,12,43.9,12,,,,,,,,28
Passeriformes,Ploceidae,Ploceus golandi,Clarke's Weaver,,24.6,17,22.5,16,,,73.8,4,71,4,,,20.6,4,18.9,3,,,19,4,17.8,3,,,44.8,4,44.3,3,,,,,,,,28
Passeriformes,Ploceidae,Ploceus melanocephalus,Black-headed Weaver,dimidiatus,28.7,57,26.7,35,,,,,,,,,,,,,,,,,,,,,50.1,12,42.7,10,,,2.5,2.1,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus dicrocephalus,Salvadori's Weaver,,,,18.5,2,,,73,8,66.4,5,,,20.3,8,18.8,5,,,17.9,8,16.2,5,,,49.3,8,45.6,5,,,2,,,,,28
Passeriformes,Ploceidae,Ploceus jacksoni,Golden-backed Weaver,,26.7,38,27.4,22,,,75.7,12,70.8,12,,,20.3,12,19.3,12,,,17.5,12,16.8,12,,,49,12,47.4,12,,,2.5,2.36,,,,"28, 31"
Passeriformes,Ploceidae,Ploceus badius,Cinnamon Weaver,,,,,,,,73.1,12,66,5,,,20.2,12,17.7,5,,,17.9,12,17.4,5,,,46.8,12,40.8,5,,,2.5,2.99,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus rubiginosus,Chestnut Weaver,,32.4,15,28,8,,,82.5,12,75.3,12,,,21.3,12,20,12,,,20.4,12,19.1,12,,,56.1,12,50.2,12,,,2.9,2.9,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus tricolor,Yellow-mantled Weaver,,37.4,7,35.5,3,,,87.3,12,81.8,10,,,19.1,12,18.7,10,,,20.2,12,20.2,10,,,52.1,12,48.9,10,,,,3.12,,1,,"28, 31"
Passeriformes,Ploceidae,Ploceus albinucha,Maxwell's Black Weaver,,28,1,25.5,1,,,80.5,11,77.4,12,,,18.1,11,17.4,12,,,19.6,11,19.3,12,,,47.2,11,45.9,12,,,,,,,,28
Passeriformes,Ploceidae,Ploceus manyar,Streaked Weaver,,17.4,2,,,,,71.2,19,68.2,5,,,22,9,20.8,5,,,19.1,9,18.3,5,,,42.9,9,41.9,5,,,2.5,2.32,,2,,"13, 28, 31"
Passeriformes,Ploceidae,Ploceus philippinus,Baya Weaver,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,4,,,"1, 31"
Passeriformes,Ploceidae,Ploceus bicolor,Forest Weaver,,,,,,40.5,2,88.2,12,85.1,12,,,23.6,12,23.2,12,,,22.1,12,21.6,12,,,61,12,58.8,12,,,3,2.79,,1,2,"28, 31"
Passeriformes,Ploceidae,Ploceus preussi,Preuss's Weaver,,31.7,1,31.4,1,,,83,18,78.9,18,,,20.3,18,19.4,18,,,18.4,18,17.1,18,,,45.3,18,41.9,18,,,,,,,2,28
Passeriformes,Ploceidae,Ploceus dorsomaculatus,Yellow-capped Weaver,,,,,,,,79.6,7,77,6,,,20.8,7,19.6,6,,,18.6,7,18.1,6,,,49.4,7,48.2,6,,,,,,,1,28
Passeriformes,Ploceidae,Ploceus nicolli,Usambara Weaver,,31.8,2,28,3,,,85,4,84,5,,,19.9,4,19.1,5,,,19.7,4,18.7,5,,,48,4,46.5,5,,,,,,,1,28
Passeriformes,Ploceidae,Ploceus olivaceiceps,Olive-headed Weaver,,22.3,11,19.6,8,,,84.6,10,77.8,6,,,19.8,10,18.5,6,,,18.8,10,18.1,6,,,44.8,10,42.8,6,,,2.5,,,,2,28
Passeriformes,Ploceidae,Ploceus insignis,Brown-capped Weaver,,28.5,6,26.5,6,,,82.7,12,79.4,12,,,20.1,12,19.9,12,,,17.7,12,17.6,12,,,47.8,12,46.5,12,,,2,2.78,,1,1,"28, 31"
Passeriformes,Ploceidae,Ploceus angolensis,Bar-winged Weaver,,,,,,,,84.5,4,81.8,4,,,18.9,4,18.8,4,,,18.6,4,18.2,4,,,44.3,4,43.5,4,,,2,2.52,,,2,"28, 31"
Passeriformes,Ploceidae,Ploceus sanctithomae,Sao Tome Weaver,,,,,,22,3,79.7,7,72.6,5,,,23.2,7,21.1,5,,,20.3,7,18.8,5,,,48.8,7,45.6,5,,,1,,,1,,28
Passeriformes,Ploceidae,Pachyphantes superciliosus,Compact Weaver,,19.6,2,21.8,3,,,68.6,11,67.3,13,,,18.4,11,18.5,13,,,18.2,11,18.1,13,,,43.9,11,43.5,13,,,3.5,,,3,2,28
Passeriformes,Ploceidae,Malimbus coronatus,Red-crowned Malimbe,,,,,,,,86.2,10,83.8,9,,,21.8,10,20.9,9,,,18.7,10,18,9,,,53.1,10,53.2,9,,,2,,,2,1,28
Passeriformes,Ploceidae,Malimbus cassini,Black-throated Malimbe,,,,,,,,90.7,9,89,5,,,21.8,9,22.2,5,,,20,9,19.2,5,,,51.9,9,53.4,5,,,2,,,,,28
Passeriformes,Ploceidae,Malimbus ballmanni,Ballmann's Malimbe,,,,,,,,89.5,10,88,7,,,21.25,8,20.75,5,,,17,8,16.75,5,,,60.5,10,62,7,,,,,,1,,28
Passeriformes,Ploceidae,Malimbus racheliae,Rachel's Malimbe,,,,,,,,79.6,8,79.2,7,,,20.2,8,20.3,7,,,18.7,8,18.3,7,,,46.2,8,45.4,7,,,,,,,1,28
Passeriformes,Ploceidae,Malimbus scutatus,Red-vented Malimbe,,30,3,30,3,,,90.8,10,88.7,10,,,23,10,22.2,10,,,19.3,10,19.3,10,,,53.4,10,50.7,10,,,2,2.68,,,2,"28, 31"
Passeriformes,Ploceidae,Malimbus ibadanensis,Ibadan Malimbe,,41.8,5,36.3,6,,,93.5,8,87.5,9,,,24,1,23.5,2,,,22,8,21,9,,,54,8,52,9,,,1.5,2.72,,,2,"28, 31"
Passeriformes,Ploceidae,Malimbus erythrogaster,Red-bellied Malimbe,,,,,,,,92.5,2,89,2,,,23.5,2,23.5,2,,,23,2,23.5,2,,,52.5,2,52.5,2,,,,,,,,28
Passeriformes,Ploceidae,Malimbus nitens,Gray's Malimbe,,42.6,8,33.6,11,,,89.8,10,81.8,10,,,23.1,10,22.1,10,,,23.2,10,22.1,10,,,56.4,10,52.5,10,,,1.92,3.14,,1,,"28, 31"
Passeriformes,Ploceidae,Malimbus malimbicus,Crested Malimbe,,36,1,32,2,,,84,10,78.6,10,,,22.4,10,21.1,10,,,20.9,10,20.1,10,,,58,10,52.8,10,,,1.5,3.28,,,,"28, 31"
Passeriformes,Ploceidae,Malimbus rubricollis,Red-headed Malimbe,,60,1,54,2,,,106,10,103,10,,,26,10,24.7,10,,,24.2,10,24,10,,,63.9,10,61.8,10,,,2,3.05,,,2,"28, 31"
Passeriformes,Ploceidae,Anaplectes rubriceps,Red-headed Weaver,,22,1,,,,,84.3,10,78.7,10,,,20.9,10,19.6,10,,,19.8,10,18,10,,,49.3,10,47.9,10,,,2.6,2.11,,1,1,"28, 31"
Passeriformes,Ploceidae,Brachycope anomala,Bob-tailed Weaver,,25.3,3,,,,,60.6,28,57.8,11,,,21.2,28,20,11,,,14.8,28,14,11,,,30,28,28.9,11,,,3,,,,,28
Passeriformes,Ploceidae,Quelea cardinalis,Cardinal Quelea,,12.5,13,12.9,19,,,58.8,12,56.5,11,,,16.3,12,15.2,11,,,13.7,12,13.2,11,,,32.2,12,30.1,11,,,3,1.39,,1,,"28, 31"
Passeriformes,Ploceidae,Quelea erythrops,Red-headed Quelea,,21.1,36,17.7,63,,,64.2,12,60.9,12,,,18.3,12,17.1,12,,,15.5,12,15,12,,,34.2,12,31.4,12,,,2.5,1.78,,1,,"28, 31"
Passeriformes,Ploceidae,Quelea quelea,Red-billed Quelea,,19.6,1164,17.9,30,,,66,12,64.2,12,,,17.8,12,17.6,12,,,15.1,12,14.6,12,,,37.9,12,35.8,12,,,2.8,1.78,,1,,"28, 31"
Passeriformes,Ploceidae,Euplectes afer,Yellow-crowned Bishop,,14.7,81,14.2,41,,,57.5,42,55.6,11,,,18.1,42,17.2,11,,,14,42,13.5,11,,,34.5,42,33.5,11,,,3.1,1.39,,2,,"28, 31"
Passeriformes,Ploceidae,Euplectes diadematus,Fire-fronted Bishop,,14,6,13.5,2,,,60.3,20,56.5,4,,,19.4,20,18.2,4,,,13.1,20,12.1,4,,,34.5,20,34.7,4,,,3.5,1.38,,1,,"28, 31"
Passeriformes,Ploceidae,Euplectes gierowii,Black Bishop,,29.6,17,27,7,,,87,51,75.3,20,,,27,51,24.9,20,,,19.2,51,18.4,20,,,62,51,53.1,20,,,3,,,,1,28
Passeriformes,Ploceidae,Euplectes hordeaceus,Black-winged Bishop,,25.5,14,19.6,7,,,75.7,137,66.6,87,,,22.4,137,21,87,,,17.1,137,16.3,87,,,46,137,39,87,,,3,1.83,,3,1,"28, 31"
Passeriformes,Ploceidae,Euplectes franciscanus,Orange Bishop,,17,30,,,,,62.9,94,56.2,65,,,19.7,94,18.3,65,,,14.2,94,13.8,65,,,36.5,94,32.9,65,,,3,,,,2,28
Passeriformes,Ploceidae,Euplectes orix,Red Bishop,,25.5,704,20.7,445,,,70.6,257,64.8,118,,,21.5,257,19.5,118,,,15.4,257,14.5,118,,,40.2,257,36.4,118,,,3,1.66,4,3,,"1, 28, 31"
Passeriformes,Ploceidae,Euplectes nigroventris,Zanzibar Bishop,,13.6,1,10.8,2,,,58.8,58,53.9,24,,,18.1,58,17.1,24,,,13.9,58,13.4,24,,,35.4,58,31.5,24,,,2.4,1.4,,3,,"28, 31"
Passeriformes,Ploceidae,Euplectes aureus,Golden-backed Bishop,,,,,,,,68.5,30,63.7,12,,,22.1,30,20.5,12,,,17.2,30,16.4,12,,,42.3,30,38.1,12,,,2.5,,,3,,28
Passeriformes,Ploceidae,Euplectes capensis,Yellow Bishop,,37.5,67,30.4,68,,,85,82,73.4,11,,,25.6,82,23.4,11,,,19.8,82,17.6,11,,,61.3,82,50.2,11,,,3,2.6,,,2,"28, 31"
Passeriformes,Ploceidae,Euplectes axillaris,Fan-tailed Widowbird,,29.5,268,22,406,,,88.8,38,68,16,,,25,38,21.6,16,,,18.2,38,16.5,16,,,75.5,20,44.9,16,,,2.8,2.09,,1,1,"28, 31"
Passeriformes,Ploceidae,Euplectes macrourus,Yellow-shouldered Widowbird,,22,8,19.7,8,,,80.3,50,67.6,59,,,23.5,50,21,59,,,16.9,50,15.6,59,,,107,50,50.8,59,,,1.9,2.08,,1,1,"28, 31"
Passeriformes,Ploceidae,Euplectes albonotatus,White-winged Widowbird,,23.2,31,19.1,21,,,76,32,66.1,22,,,22,32,19.9,22,,,15.8,32,14.8,22,,,84.5,28,45,22,,,2.6,1.76,,1,1,"28, 31"
Passeriformes,Ploceidae,Euplectes ardens,Red-collared Widowbird,,22.7,187,19.7,211,,,74.4,77,64.6,69,,,22.4,77,20.6,69,,,15.4,77,14.8,69,,,228,55,44.2,69,,,2.2,1.88,,2,1,"28, 31"
Passeriformes,Ploceidae,Euplectes hartlaubi,Marsh Widowbird,,,,,,,,109,27,83.7,28,,,28.9,27,25.5,28,,,19.7,27,17.9,28,,,177,13,64.2,28,,,2,2.75,,,1,"28, 31"
Passeriformes,Ploceidae,Euplectes psammocromius,Buff-shouldered Widowbird,,,,,,,,103,19,79.2,9,,,28,19,24.7,9,,,18.7,19,17.2,9,,,247,11,56.3,9,,,2,,,4,1,28
Passeriformes,Ploceidae,Euplectes progne,Long-tailed Widowbird,,41.6,29,32,32,,,138,82,90.8,28,,,28.6,82,28.5,28,,,19,82,17.5,28,,,411,82,62.3,28,,,2.1,2.7,,1,,"28, 31"
Passeriformes,Ploceidae,Euplectes jacksoni,Jackson's Widowbird,,42.7,212,29.7,80,,,89.9,56,77.6,21,,,29.5,56,26.4,21,,,18.3,56,17,21,,,212,26,52,21,,,3,2.7,,3,,"28, 31"
Passeriformes,Viduidae,Anomalospiza imberbis,Parasitic Weaver,,17.4,2,,,,,65.6,29,63.7,7,,,16.3,26,16.1,7,,,11.6,26,11.3,7,,,38.7,56,37.5,31,,,2.9,1.31,,1,1,"28, 31"
Passeriformes,Ploceidae,Amblyospiza albifrons,Grosbeak Weaver,,38.5,7,36.3,3,,,96.7,10,88.5,10,,,23.2,10,21.5,10,,,23.7,10,21.8,10,,,65.3,10,60.7,10,,,3,3.31,,3,,"28, 31"
Passeriformes,Estrildidae,Parmoptila rubrifrons,Jameson's Antpecker,,9.2,19,9.8,13,,,50.2,10,50.3,10,,,15,10,15.1,10,,,11.8,10,11.9,10,,,40.4,10,40.3,10,,,,,,,1,28
Passeriformes,Estrildidae,Parmoptila woodhousei,Woodhouse's Antpecker,,9.5,1,,,,,50.5,10,50.5,10,,,14.6,10,14.8,10,,,11.9,10,11.8,10,,,38.6,10,38.2,10,,,4,0.77,,,,"28, 31"
Passeriformes,Estrildidae,Nigrita fusconota,White-breasted Negrofinch,,8.5,4,,,9,9,52.6,10,51,8,,,13.7,10,14.1,8,,,11.7,10,11.3,8,,,44.2,10,40.8,8,,,4.5,0.88,,,2,"28, 31"
Passeriformes,Estrildidae,Nigrita bicolor,Chestnut-breasted Negrofinch,,10.7,6,10.2,4,,,54.9,10,54.5,8,,,14.4,10,14.1,8,,,11.1,10,11.1,8,,,42.1,10,41.6,8,,,3.5,0.98,,,1,"28, 31"
Passeriformes,Estrildidae,Nigrita luteifrons,Pale-fronted Negrofinch,,13,1,,,,,58.7,10,57.9,10,,,,,,,,,11.2,10,11.4,10,,,37.8,10,37.4,10,,,4,1.17,,,2,"28, 31"
Passeriformes,Estrildidae,Nigrita canicapilla,Grey-headed Negrofinch,,18.2,4,19.2,4,,,70.1,10,69.8,10,,,17.1,10,16.6,10,,,14.6,10,14.4,10,,,48.9,10,48.2,10,,,4.5,1.75,,1,1,"28, 31"
Passeriformes,Estrildidae,Nesocharis shelleyi,Fernando Po Oliveback,,8,2,,,6.5,4,44.5,10,44.1,8,,,13.5,10,13.8,8,,,10.2,10,9.9,8,,,25,10,24.8,8,,,3,0.75,,,1,"28, 31"
Passeriformes,Estrildidae,Nesocharis ansorgei,White-collared Oliveback,,8.4,5,8.3,3,,,51,1,,,,,13.5,1,,,,,11,1,,,,,39,1,,,,,2.8,0.92,,1,,"28, 31"
Passeriformes,Estrildidae,Nesocharis capistrata,Grey-headed Oliveback,,,,,,,,57.3,9,56.5,9,,,16.7,9,16.5,9,,,11.6,9,11.3,9,,,46.2,9,45.7,9,,,4,,,,1,28
Passeriformes,Estrildidae,Pytilia phoenicoptera,Red-winged Pytilia,phoenicoptera,15,5,13.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,1,1,"28, 31"
Passeriformes,Estrildidae,Pytilia lineata,Lineated Pytilia,,,,,,14.3,99,59.3,3,,,,,16,3,,,,,13.2,3,,,,,38.7,3,,,,,,,,1,,28
Passeriformes,Estrildidae,Pytilia afra,Orange-winged Pytilia,,16.5,6,16.6,7,,,60.5,10,60.1,10,,,15,10,15.1,10,,,12.5,10,12.1,10,,,35.7,10,35,10,,,3,1.25,,,1,"28, 31"
